EmployeeNumber,Surname,GivenName,Gender,City,JobTitle,DepartmentName,StoreLocation,Division,Age,LengthService,AbsentHours,BusinessUnit,MonthlySalary,AnnualSalary,AnnualLeave,SickLeave,OnLeave
26,Mason,Penny,F,Aldergrove,Baker,Bakery,Aldergrove,Stores,35.87338778,3.1019256339999997,48.017050700000006,Stores,1500,18000,12,0,0
27,Burton,Theodore,M,Kelowna,Baker,Bakery,Kelowna,Stores,41.93560641,4.557230328999999,42.78802656,Stores,1500,18000,14,2,0
28,Hunt,Joseph,M,Trail,Baker,Bakery,Trail,Stores,35.49790596,5.174673648,34.52427221,Stores,1500,18000,9,0,0
29,Loiselle,Thomas,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,40.02887,12.185467,59.88316464,HeadOffice,2000,24000,8,3,0
30,Nguyen,William,M,Aldergrove,Baker,Bakery,Aldergrove,Stores,49.75658466,4.3136176939999995,100.6740987,Stores,1500,18000,2,0,0
31,Schrupp,James,M,Penticton,Baker,Bakery,Kelowna,Stores,38.11173232,3.4935335210000003,9.522523814,Stores,1500,18000,5,2,0
32,Donaldson,Adriana,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,42.8715,19.006435999999997,38.88332344,HeadOffice,2000,24000,10,2,0
33,Thompson,Felipe,M,Duncan,Baker,Bakery,Quesnel,Stores,49.94274462,5.775266267999999,129.8357633,Stores,1500,18000,2,3,0
34,Livingston,Lester,M,Kelowna,Baker,Bakery,Kelowna,Stores,77.0,3.203849714,44.273108799999996,Stores,1500,18000,5,1,0
35,Ashley,Emma,F,Crawford Bay,Baker,Bakery,Cranbrook,Stores,23.74733283,2.992041355,0.0,Stores,1500,18000,12,0,0
36,Davis,Jeffery,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,36.196064,18.196064,0.0,HeadOffice,2000,24000,9,0,0
37,Farris,Augustina,F,Courtenay,Baker,Bakery,Nanaimo,Stores,51.56495808,4.641869886,75.25704812,Stores,1500,18000,10,2,0
38,Colman,Katherine,F,Port Hardy,Baker,Bakery,Nanaimo,Stores,40.41201341,6.192268184,58.97153025,Stores,1500,18000,10,3,0
39,Martin,Daniel,M,Kelowna,Baker,Bakery,Kelowna,Stores,52.44651862,4.29126449,134.6683839,Stores,1500,18000,3,3,0
40,Atencio,Morris,M,Logan Lake,Baker,Bakery,Kamloops,Stores,20.02556154,4.4833916689999995,0.0,Stores,1500,18000,13,0,0
41,Harrod,Gloria,F,Abbotsford,Baker,Bakery,Abbotsford,Stores,44.60660014,4.862142071,78.34173929,Stores,1500,18000,7,2,0
42,Bell,Angelo,M,Dawson Creek,Baker,Bakery,Dawson Creek,Stores,67.08801208,2.183958352,168.9957664,Stores,1500,18000,2,3,0
43,Kelley,Virginia,F,Burnaby,Baker,Bakery,Burnaby,Stores,41.25328235,2.018782807,56.21994065,Stores,1500,18000,12,2,0
44,Turner,Stephen,M,Surrey,Baker,Bakery,Surrey,Stores,62.05182058,5.473604647,152.6467667,Stores,1500,18000,1,1,0
45,Mortimer,Cecilia,F,Victoria,Baker,Bakery,Victoria,Stores,28.07544199,5.776657666,0.0,Stores,1500,18000,12,0,0
46,Stutts,Belle,F,Surrey,Baker,Bakery,Surrey,Stores,49.90577748,5.357402979,80.24254043,Stores,1500,18000,2,3,0
47,Bryant,John,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50.07982,1.0,78.7532824,HeadOffice,2000,24000,3,2,0
48,Nolan,John,M,Squamish,Baker,Bakery,Squamish,Stores,33.80945018,5.654808747000001,0.0,Stores,1500,18000,12,2,0
49,Allison,Connie,F,Good Hope Lake,Baker,Bakery,Terrace,Stores,51.60595642,3.9855896,88.91127783,Stores,1500,18000,9,3,0
50,McAllister,Greg,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,38.678832,20.678832,21.38553248,HeadOffice,2000,24000,11,1,0
51,Murry,Adam,M,Burnaby,Baker,Bakery,Burnaby,Stores,30.29765034,7.5601409870000005,3.737100223,Stores,1500,18000,5,3,0
52,Price,David,M,Penticton,Baker,Bakery,Kelowna,Stores,43.68608721,0.38574618200000005,38.06658377,Stores,1500,18000,5,2,0
53,McCoy,Corey,M,New Westminster,Baker,Bakery,New Westminster,Stores,50.04741662,5.702536846,116.2269635,Stores,1500,18000,0,0,0
54,Baker,Linda,F,Nanaimo,Baker,Bakery,Nanaimo,Stores,34.68894529,4.721105791,0.0,Stores,1500,18000,3,1,0
55,Shultz,Charles,M,Abbotsford,Baker,Bakery,Abbotsford,Stores,29.32983419,3.28103742,0.0,Stores,1500,18000,13,2,0
56,Medina,Bonita,F,Sidney,Baker,Bakery,Victoria,Stores,50.01054543,3.6538016730000002,77.13030678,Stores,1500,18000,5,1,0
57,Houston,Harold,M,Coquitlam,Baker,Bakery,Nanaimo,Stores,24.50853,4.796216863,0.0,Stores,1500,18000,6,0,0
58,Mejia,James,M,Chilliwack,Baker,Bakery,Chilliwack,Stores,42.62840469,4.124606978,24.79287091,Stores,1500,18000,14,0,0
59,Bates,Charles,M,Okanagan Mission,Baker,Bakery,Kelowna,Stores,54.04930086,4.060790515,121.44800749999999,Stores,1500,18000,11,0,0
60,Ross,Robert,M,New Westminster,Baker,Bakery,New Westminster,Stores,43.91047001,4.197598793,59.7836809,Stores,1500,18000,4,1,0
61,Heller,Joseph,M,Ganges,Baker,Bakery,Victoria,Stores,42.59140213,5.101161761,55.62426288,Stores,1500,18000,7,2,0
62,Murray,Faye,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,55.76305,10.623616,0.0,HeadOffice,2000,24000,13,0,0
63,Allen,Michelle,F,Prince George,Baker,Bakery,Prince George,Stores,31.16665889,0.7755179090000001,0.0,Stores,1500,18000,1,0,0
64,Jones,Harvey,M,Atlin,Baker,Bakery,Terrace,Stores,43.26243975,5.843569409,55.05895104,Stores,1500,18000,12,1,0
65,Nystrom,Jane,F,Kamloops,Baker,Bakery,Kamloops,Stores,35.61924833,3.679095448,44.6346054,Stores,1500,18000,0,3,0
66,Albright,Paul,M,Whistler,Baker,Bakery,Squamish,Stores,39.26200269,5.748053522999999,42.45739254,Stores,1500,18000,8,3,0
67,Lovely,Janet,F,Surrey,Baker,Bakery,Surrey,Stores,22.536412600000002,5.897640636,0.0,Stores,1500,18000,0,0,0
68,Strayhorn,Billie,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,39.73937,11.885504,0.0,HeadOffice,2000,24000,3,2,0
69,Jones,Tammy,F,Spences Bridge,Baker,Bakery,Kamloops,Stores,46.94959435,2.024655355,107.79550049999999,Stores,1500,18000,10,2,0
70,Gay,Donald,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,44.10973,12.305714,78.84098352,HeadOffice,2000,24000,1,0,0
71,Green,Earnest,M,New Westminister,Baker,Bakery,New Westminister,Stores,52.78875734,4.589520028,110.1543068,Stores,1500,18000,4,1,0
72,Riley,Wendy,F,Gibsons,Baker,Bakery,West Vancouver,Stores,35.63044266,3.947661015,33.93440994,Stores,1500,18000,8,3,0
73,Malizia,Randall,M,Vernon,Baker,Bakery,Vernon,Stores,42.4342557,3.387128544,28.60483097,Stores,1500,18000,7,3,0
74,Lopez,Florence,F,Burnaby,Baker,Bakery,Burnaby,Stores,40.96753752,3.2852836819999998,44.987429299999995,Stores,1500,18000,2,0,0
75,Howell,Carol,F,Fauquier,Baker,Bakery,Trail,Stores,46.77086356,1.9916920740000001,126.5011301,Stores,1500,18000,4,1,0
76,Chico,Joyce,F,Victoria,Baker,Bakery,Victoria,Stores,45.300810299999995,5.567973876,19.619145800000002,Stores,1500,18000,12,2,0
77,White,Anthony,M,Kamloops,Baker,Bakery,Kamloops,Stores,38.29655279,6.095617444,0.0,Stores,1500,18000,1,3,0
78,Smith,Danny,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,35.4939,8.348239,44.97411152,HeadOffice,2000,24000,1,3,0
79,Porter,Ana,F,Mackenzie,Baker,Bakery,Prince George,Stores,41.66134173,4.711743887,45.95478779,Stores,1500,18000,7,3,0
80,Depaz,Shari,F,New Westminster,Baker,Bakery,New Westminster,Stores,43.5118766,1.778630937,83.3173005,Stores,1500,18000,14,0,0
81,Witkowski,Alice,F,Squamish,Baker,Bakery,Squamish,Stores,54.00481868,2.870591513,136.3424045,Stores,1500,18000,9,1,0
82,Alvarez,Kenneth,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,46.22423463,4.416249838,53.312025899999995,Stores,1500,18000,2,0,0
83,Morales,Soledad,F,Gold Bridge,Baker,Bakery,Kamloops,Stores,47.65733071,4.2524534339999995,96.6132406,Stores,1500,18000,10,2,0
84,Burden,Alexis,F,Penticton,Baker,Bakery,Kelowna,Stores,51.99137493,2.964089468,140.91114140000002,Stores,1500,18000,12,0,0
85,Dyal,William,M,Victoria,Baker,Bakery,Victoria,Stores,33.3683369,2.3018765930000002,31.69229831,Stores,1500,18000,4,0,0
86,Hayden,Kenneth,M,New Westminster,Baker,Bakery,New Westminster,Stores,47.6040848,4.149329545,12.68410865,Stores,1500,18000,4,1,0
87,Caban,Joshua,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,34.6622,13.828331,54.30033232,HeadOffice,2000,24000,5,1,0
88,Knight,Mildred,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,37.24006,18.641316,0.0,HeadOffice,2000,24000,10,0,0
89,Thurmond,Linda,F,Duncan,Baker,Bakery,Quesnel,Stores,45.47882196,6.837239767000001,103.34936970000001,Stores,1500,18000,10,0,0
90,Monroe,Terra,F,Kelowna,Baker,Bakery,Kelowna,Stores,26.91367155,3.983950436,0.0,Stores,1500,18000,14,2,0
91,Velez,Colleen,F,Good Hope Lake,Baker,Bakery,Terrace,Stores,37.74242382,3.569517999,49.84641191,Stores,1500,18000,1,2,0
92,Martin,Lisa,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,40.49192,1.2237850000000001,58.28770605,HeadOffice,2000,24000,11,2,0
93,Godfrey,Ramon,M,Victoria,Baker,Bakery,Victoria,Stores,48.62992513,5.534431307999999,110.81247959999999,Stores,1500,18000,2,2,0
94,Jackson,Monica,F,Fort Fraser,Baker,Bakery,Prince George,Stores,52.18642804,5.333357014,158.6843997,Stores,1500,18000,7,2,0
95,Craig,Cristina,F,Victoria,Baker,Bakery,Victoria,Stores,37.91257982,4.677505826,73.47603875,Stores,1500,18000,13,3,0
96,Schooley,Daniel,M,Nelson,Baker,Bakery,Nelson,Stores,29.40947244,4.853084899,2.187241945,Stores,1500,18000,1,3,0
97,Wireman,Jacquie,F,New Westminster,Baker,Bakery,New Westminster,Stores,51.17022316,4.954787053,99.80856689,Stores,1500,18000,0,0,0
98,Tripp,Simone,F,Kamloops,Baker,Bakery,Kamloops,Stores,39.46457145,1.9142569440000001,34.77626973,Stores,1500,18000,3,1,0
99,Cousins,Jessica,F,Kaslo,Baker,Bakery,Cranbrook,Stores,26.67920383,4.8502754139999995,0.0,Stores,1500,18000,6,3,0
100,Drake,Mildred,F,Burnaby,Baker,Bakery,Burnaby,Stores,46.54737692,7.40795942,81.7411048,Stores,1500,18000,3,0,0
101,Gilreath,Mary,F,Victoria,Baker,Bakery,Victoria,Stores,39.23785234,5.28876626,51.75805976,Stores,1500,18000,0,0,0
102,Lundin,Edwina,F,New Westminster,Baker,Bakery,New Westminster,Stores,49.02908732,2.9927679169999997,121.00742520000001,Stores,1500,18000,14,2,0
103,Gleason,Esther,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,43.74006,16.587192,48.37309828,HeadOffice,2000,24000,0,3,0
104,Sharma,Donald,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,55.82635616,2.020945438,137.4598877,Stores,1500,18000,13,2,0
105,Hash,Yvonne,F,Victoria,Baker,Bakery,Victoria,Stores,44.00105092,4.03442867,98.5576777,Stores,1500,18000,14,1,0
106,Harris,Arnold,M,Creston,Baker,Bakery,Cranbrook,Stores,29.6692902,2.9206944360000002,0.0,Stores,1500,18000,13,3,0
107,Massey,Christie,F,Wynndel,Baker,Bakery,Cranbrook,Stores,46.08440537,4.8347910469999995,44.00185941,Stores,1500,18000,5,2,0
108,Webber,Hobert,M,Muncho Lake,Baker,Bakery,Fort St John,Stores,27.86599272,4.51966396,0.0,Stores,1500,18000,5,3,0
109,Edmondson,Cynthia,F,Burnaby,Baker,Bakery,Burnaby,Stores,37.38317605,4.934654158,39.10172396,Stores,1500,18000,7,3,0
110,Paschall,Marjorie,F,Muncho Lake,Baker,Bakery,Fort St John,Stores,50.43589901,5.505354659,138.93304030000002,Stores,1500,18000,12,1,0
111,Johnson,Dexter,M,New Westminster,Baker,Bakery,New Westminster,Stores,46.58616386,4.74303968,63.03007856,Stores,1500,18000,11,2,0
112,Fox,Keith,M,Creston,Baker,Bakery,Cranbrook,Stores,50.28113997,5.3196110260000005,98.3228922,Stores,1500,18000,12,1,0
113,Kamen,Alan,M,Kitimat,Baker,Bakery,Terrace,Stores,39.04622933,1.733551364,56.30433228,Stores,1500,18000,7,1,0
114,Ogden,Nancy,F,Lac La Hache,Baker,Bakery,Williams Lake,Stores,37.49357924,5.272417507,25.46792975,Stores,1500,18000,7,3,0
115,Ervin,Patricia,F,Armstrong,Baker,Bakery,Vernon,Stores,47.5184211,3.813679718,96.88371667,Stores,1500,18000,9,1,0
116,Clark,Pauline,F,Victoria,Baker,Bakery,Victoria,Stores,50.24461391,3.450234407,118.490501,Stores,1500,18000,2,3,0
117,Andrews,Debra,F,New Westminster,Baker,Bakery,New Westminster,Stores,40.32982676,6.277340487000001,34.02042059,Stores,1500,18000,10,3,0
118,Calderon,Sybil,F,Aldergrove,Baker,Bakery,Aldergrove,Stores,36.92447866,6.283404129,72.79408579,Stores,1500,18000,6,0,0
119,Torres,Lee,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,33.17869,3.616228,0.0,HeadOffice,2000,24000,6,3,0
120,Ward,James,M,Abbotsford,Baker,Bakery,Abbotsford,Stores,32.75941298,7.100916928999999,0.0,Stores,1500,18000,13,1,0
121,Browning,Christiane,F,Duncan,Baker,Bakery,Quesnel,Stores,58.57572963,6.547789836000001,153.2632323,Stores,1500,18000,6,2,0
122,Wurth,William,M,Duncan,Baker,Bakery,Quesnel,Stores,23.94839693,5.192754104,0.0,Stores,1500,18000,12,0,0
123,Prescott,Wesley,M,Quesnel,Baker,Bakery,Quesnel,Stores,43.20353674,7.921398042000001,53.84737103,Stores,1500,18000,13,2,0
124,Dunham,Ligia,F,Hixon,Baker,Bakery,Prince George,Stores,52.64638663,4.990343166000001,113.96177490000001,Stores,1500,18000,10,3,0
125,Garrett,Steve,M,Fauquier,Baker,Bakery,Trail,Stores,45.82458879,3.39067547,79.10668824,Stores,1500,18000,13,2,0
126,Alexander,Tyrone,M,Surrey,Baker,Bakery,Surrey,Stores,35.53798668,5.7645856570000005,29.98231177,Stores,1500,18000,1,3,0
127,Cheek,Mary,F,Wynndel,Baker,Bakery,Cranbrook,Stores,37.84977345,1.976125041,68.40403177,Stores,1500,18000,0,2,0
128,Ackerman,Carrie,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,43.2858,21.122314000000003,30.99399888,HeadOffice,2000,24000,11,3,0
129,Johnson,Patricia,F,Ocean Falls,Baker,Bakery,Ocean Falls,Stores,24.36946429,3.7699588189999997,0.0,Stores,1500,18000,6,1,0
130,Haley,Carey,M,West Vancouver,Baker,Bakery,West Vancouver,Stores,45.92597301,6.680159831,40.05948151,Stores,1500,18000,12,3,0
131,Hall,Maria,F,Vallican,Baker,Bakery,Trail,Stores,32.63626674,3.1228047780000003,49.65651125,Stores,1500,18000,2,1,0
132,Bunch,Terra,F,North Pender Island,Baker,Bakery,Victoria,Stores,39.38889368,3.7319815289999996,94.2773662,Stores,1500,18000,0,0,0
133,Martin,Terry,M,Victoria,Baker,Bakery,Victoria,Stores,35.69832217,1.881003024,58.09452779,Stores,1500,18000,1,2,0
134,Bass,Brian,M,Montney,Baker,Bakery,Fort St John,Stores,49.71959048,4.205191727,62.16083824,Stores,1500,18000,9,3,0
135,Wagner,Robert,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,54.672259999999994,17.149135,30.45802032,HeadOffice,2000,24000,11,0,0
136,McBride,Joanne,F,Ganges,Baker,Bakery,Victoria,Stores,44.00556211,3.729336444,90.81179196,Stores,1500,18000,11,0,0
137,Johnson,Paul,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,36.480086,18.480086,37.1157124,HeadOffice,2000,24000,3,0,0
138,Cook,Anthony,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,55.76305,11.44132,0.0,HeadOffice,2000,24000,10,1,0
139,Loch,Dean,M,North Vancouver,Baker,Bakery,North Vancouver,Stores,43.1563698,5.1740666189999995,63.18923992,Stores,1500,18000,3,0,0
140,Defoor,James,M,Prince George,Baker,Bakery,Prince George,Stores,56.55995386,4.927399666,101.9347516,Stores,1500,18000,2,2,0
141,Wadlington,Arthur,M,Burns Lake,Baker,Bakery,Prince George,Stores,43.12316447,2.480452998,45.48992662,Stores,1500,18000,11,3,0
142,Harte,Vanessa,F,Midway,Baker,Bakery,Trail,Stores,50.35361623,3.0061383010000005,124.2025327,Stores,1500,18000,8,2,0
143,Galindo,Zachary,M,Victoria,Baker,Bakery,Victoria,Stores,49.47613903,4.6876200589999995,56.92397595,Stores,1500,18000,8,3,0
144,Reardon,Kenneth,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,39.73937,16.8497,0.0,HeadOffice,2000,24000,11,1,0
145,Flores,Doris,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,44.10973,11.954267,111.77558459999999,HeadOffice,2000,24000,13,2,0
146,Busch,Alice,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,35.4939,13.707757999999998,0.0,HeadOffice,2000,24000,9,2,0
147,Phillips,Alfredo,M,Westwold,Baker,Bakery,Vernon,Stores,61.44050167,3.4397507189999996,96.260697,Stores,1500,18000,10,2,0
148,Lopez,Christopher,M,Victoria,Baker,Bakery,Victoria,Stores,47.87764919,3.44226196,58.15296878,Stores,1500,18000,14,2,0
149,Fernandez,Emma,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,34.6622,5.6897470000000006,40.14572515,HeadOffice,2000,24000,10,3,0
150,Westling,Sharonda,F,Vananda,Baker,Bakery,Nanaimo,Stores,37.85526055,7.02162411,92.24730012,Stores,1500,18000,5,0,0
151,Pelletier,Ronald,M,Terrace,Baker,Bakery,Terrace,Stores,57.89963249,5.586855486,116.0821581,Stores,1500,18000,7,0,0
152,Chacon,William,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,37.24006,2.759389,24.50390384,HeadOffice,2000,24000,2,0,0
153,Petty,Leland,M,New Westminster,Baker,Bakery,New Westminster,Stores,37.97420752,2.5199888390000003,17.06972082,Stores,1500,18000,2,2,0
154,Whitmire,Ernestine,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,40.49192,6.408469,90.16966119,HeadOffice,2000,24000,13,1,0
155,Rivers,Matthew,M,Victoria,Baker,Bakery,Victoria,Stores,49.07042916,6.1542882070000005,46.52578004,Stores,1500,18000,1,1,0
156,Meyers,Kim,F,Golden,Baker,Bakery,Cranbrook,Stores,55.93339775,4.507594802,156.6886593,Stores,1500,18000,12,3,0
157,Hebert,Sheree,F,Port Coquitlam,Baker,Bakery,Port Coquitlam,Stores,27.38177556,5.882383018,14.38568387,Stores,1500,18000,9,3,0
158,Jacques,Pearl,F,Vernon,Baker,Bakery,Vernon,Stores,51.85696413,2.856147379,113.2580344,Stores,1500,18000,13,2,0
159,Valdez,Gabriela,F,Hixon,Baker,Bakery,Prince George,Stores,61.3978081,2.771944271,159.968214,Stores,1500,18000,8,3,0
160,Vidrine,Harold,M,Sechelt,Baker,Bakery,West Vancouver,Stores,66.06890246,4.235105015,223.77884100000003,Stores,1500,18000,14,2,0
161,Carbone,Edith,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,43.74006,23.746002999999998,0.0,HeadOffice,2000,24000,9,1,0
162,Hernandez,Leonard,M,New Westminster,Baker,Bakery,New Westminster,Stores,40.45052007,3.839194051,79.12363725,Stores,1500,18000,7,2,0
163,Campbell,Frank,M,White Rock,Baker,Bakery,White Rock,Stores,57.35063799,6.032330926,154.25772519999998,Stores,1500,18000,4,3,0
164,Raley,Charlie,M,Aldergrove,Baker,Bakery,Aldergrove,Stores,31.38918207,4.08229079,0.0,Stores,1500,18000,2,2,0
165,Rayfield,Robert,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,35.80744,17.80744,0.0,HeadOffice,2000,24000,13,3,0
166,Shea,Melinda,F,Richmond,Baker,Bakery,Richmond,Stores,52.132540500000005,6.524270598999999,88.45913805,Stores,1500,18000,10,3,0
167,Coleman,David,M,Muncho Lake,Baker,Bakery,Fort St John,Stores,30.55156977,4.994952013,0.0,Stores,1500,18000,6,3,0
168,Haynes,Patrick,M,Whistler,Baker,Bakery,Squamish,Stores,54.55066069,5.582832837000001,95.49894843,Stores,1500,18000,14,2,0
169,Bonilla,Frederick,M,Surrey,Baker,Bakery,Surrey,Stores,49.85965201,3.4158726489999998,120.0797189,Stores,1500,18000,5,0,0
170,Tobin,Sonia,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,43.2858,13.563239999999999,0.0,HeadOffice,2000,24000,6,2,0
171,Wood,Denise,F,Logan Lake,Baker,Bakery,Kamloops,Stores,30.04004847,5.287380572,0.0,Stores,1500,18000,11,3,0
172,Guajardo,Cynthia,F,Summerland,Baker,Bakery,Kelowna,Stores,42.51405735,0.6968730540000001,82.89702302,Stores,1500,18000,3,1,0
173,Marshall,Caroline,F,Victoria,Baker,Bakery,Victoria,Stores,49.27493559,5.039542872,121.36826380000001,Stores,1500,18000,0,2,0
174,Ray,James,M,Prince George,Baker,Bakery,Prince George,Stores,38.15800998,3.9996756789999997,34.20118293,Stores,1500,18000,9,3,0
175,Baum,Stephanie,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,45.5594,14.410267999999999,69.47820963,HeadOffice,30000,360000,14,2,0
176,Dubin,Joesph,M,Kelowna,Baker,Bakery,Kelowna,Stores,44.0545011,4.48261494,56.19587246,Stores,1500,18000,1,3,0
177,Giles,Sarah,F,New Westminster,Baker,Bakery,New Westminster,Stores,43.53401993,4.978325753,61.49474478,Stores,1500,18000,12,1,0
178,Layman,Angelica,F,Victoria,Baker,Bakery,Victoria,Stores,42.63644281,5.982794346,60.09046813,Stores,1500,18000,11,1,0
179,Martin,Michaela,F,Victoria,Baker,Bakery,Victoria,Stores,44.24521906,0.8404806459999999,66.31549844,Stores,1500,18000,1,3,0
180,Williams,Michael,M,North Vancouver,Baker,Bakery,North Vancouver,Stores,45.94124227,3.8423337330000003,71.55570239,Stores,1500,18000,8,3,0
